"","district","postcode","n","per_of_district","per_of_postcode"
"293","DAVIDSON","2069",4387,10.3714035792808,64.6002061552054
"294","DAVIDSON","2085",3990,9.43284711222488,72.6379027853632
"295","DAVIDSON","2074",2814,6.65263954230596,26.111162661223
"296","DAVIDSON","2086",1695,4.00718693113312,30.4144984747892
"297","DAVIDSON","2073",520,1.22934348329748,6.44202180376611
"298","DRUMMOYNE","2046",15502,30.2153786180684,99.9290917295172
"299","DRUMMOYNE","2137",15014,29.2642042685898,99.99333999334
"300","DRUMMOYNE","2138",11355,22.1323457752656,100
"301","DRUMMOYNE","2047",8744,17.043173180002,100
"302","DRUMMOYNE","2140",688,1.34099990254361,4.76949740034662
"303","DRUMMOYNE","2134",2,0.00389825553065003,0.0160849284220685
"304","DUBBO","2830",26136,47.9207920792079,99.7823846065743
"305","DUBBO","2850",13644,25.016501650165,94.605463874636
"306","DUBBO","2820",5215,9.56178951228456,100
"307","DUBBO","2821",3265,5.98643197653099,100
"308","DUBBO","2852",2762,5.06417308397506,99.9638074556641
"309","DUBBO","2823",1167,2.13971397139714,95.1100244498778
"310","DUBBO","2818",758,1.38980564723139,100
"311","DUBBO","2831",585,1.07260726072607,26.1277355962483
"312","DUBBO","2869",287,0.526219288595526,23.5438884331419
"313","DUBBO","2822",263,0.482214888155482,74.7159090909091
"314","DUBBO","2866",211,0.386872020535387,11.1463285789752
"315","DUBBO","2868",120,0.22002200220022,27.027027027027
"316","DUBBO","2844",56,0.102676934360103,4.74174428450466
"317","DUBBO","2800",32,0.0586725339200587,0.113414850256956
"318","DUBBO","2867",30,0.055005500550055,7.2992700729927
"319","DUBBO","2795",7,0.0128346167950128,0.0260610573343261
"320","DUBBO","2842",2,0.00366703337000367,0.332778702163062
"321","EAST HILLS","2213",10256,24.8992473901432,100
"322","EAST HILLS","2211",9037,21.9397912114591,100
"323","EAST HILLS","2212",8862,21.5149308084486,99.8872858431019
"324","EAST HILLS","2200",6725,16.3267783442583,22.6644648153141
"325","EAST HILLS","2214",2168,5.26341344986647,100
"326","EAST HILLS","2198",2008,4.87496965282836,58.4060500290867
"327","EAST HILLS","2199",1740,4.22432629278951,20.5576559546314
"328","EAST HILLS","2197",394,0.956542850206361,9.72599358183165
"329","EPPING","2121",16131,35.0567218672578,90.7255343082115
"330","EPPING","2118",11776,25.5922110661972,91.9712589815683
"331","EPPING","2117",8949,19.4484287390794,82.7614907981134
"332","EPPING","2119",5257,11.4247837614639,100
"333","EPPING","2151",3699,8.03885773894902,30.6487695749441
"334","EPPING","2120",116,0.252097187812405,1.20331950207469
"335","EPPING","2125",86,0.186899639240231,1.32003069838833
"336","FAIRFIELD","2165",19283,46.5491852745926,98.5586506516739
"337","FAIRFIELD","2163",5430,13.1080265540133,100
"338","FAIRFIELD","2166",5071,12.2414001207001,22.0171934699548
"339","FAIRFIELD","2162",2334,5.63427881713941,27.2027972027972
"340","FAIRFIELD","2164",2308,5.57151478575739,17.8762295716831
"341","FAIRFIELD","2161",1982,4.7845503922752,13.0172074083804
"342","FAIRFIELD","2197",1843,4.44900422450211,45.4949395211059
